beam_size,lm_weight,beam_threshold,word_score,wer,time
10,0,1,-0.5,10.2329,55.087433099746704
10,0,1,-0.26,10.2329,60.57231307029724
10,0,1,0.0,10.2329,59.90351033210754
10,3,1,-0.5,18.3746,51.86498427391052
10,3,1,-0.26,18.5038,52.62167811393738
10,3,1,0.0,18.5038,76.6306095123291
10,15,1,-0.5,100.0,55.80578660964966
10,15,1,-0.26,100.0,55.83406281471253
10,15,1,0.0,100.0,52.87606525421143
10,0,5,-0.5,9.5158,51.07748222351074
10,0,5,-0.26,9.5825,49.662720680236816
10,0,5,0.0,9.5825,51.60146307945252
10,3,5,-0.5,8.9527,50.23648476600647
10,3,5,-0.26,9.0777,48.7347514629364
10,3,5,0.0,9.5777,50.43076205253601
10,15,5,-0.5,99.4729,50.77452516555786
10,15,5,-0.26,99.4729,51.13204574584961
10,15,5,0.0,99.4729,47.52703666687012
10,0,10,-0.5,9.6306,326.7185571193695
10,0,10,-0.26,9.3806,49.96573829650879
10,0,10,0.0,9.3806,48.96846270561218
10,3,10,-0.5,8.4405,47.38337588310242
10,3,10,-0.26,8.4405,45.92773747444153
10,3,10,0.0,8.5314,60.27076506614685
10,15,10,-0.5,95.5646,324.02079701423645
10,15,10,-0.26,95.6896,47.39442944526672
10,15,10,0.0,95.6896,47.20775413513184
50,0,1,-0.5,10.2329,47.68250989913941
50,0,1,-0.26,10.2329,49.677528381347656
50,0,1,0.0,10.2329,52.436371088027954
50,3,1,-0.5,18.3746,-223.07243990898127
50,3,1,-0.26,18.5038,51.143474817276
50,3,1,0.0,18.5038,51.09917497634888
50,15,1,-0.5,100.0,51.27933168411255
50,15,1,-0.26,100.0,50.922138929367065
50,15,1,0.0,100.0,54.21778416633606
50,0,5,-0.5,9.5825,-223.6566605567932
50,0,5,-0.26,9.5825,61.86534881591797
50,0,5,0.0,9.5825,58.66554260253906
50,3,5,-0.5,8.7867,329.2244679927826
50,3,5,-0.26,8.9117,-211.1302707195282
50,3,5,0.0,9.4117,61.00165247917175
50,15,5,-0.5,99.4729,55.41480135917664
50,0,10,-0.5,9.2532,53.58745908737183
50,0,10,-0.26,9.2532,54.99507689476013
50,0,10,0.0,9.2532,51.35797142982483
50,3,10,-0.5,7.5738,58.39900493621826
50,3,10,-0.26,7.6404,50.03583002090454
50,3,10,0.0,7.6404,52.01378679275513
50,0,25,-0.5,9.2532,327.914470911026
50,0,25,-0.26,9.2532,54.76305079460144
50,0,25,0.0,9.2532,63.30714678764343
50,3,25,-0.5,7.0297,63.1591317653656
50,3,25,-0.26,7.0297,59.047247648239136
50,3,25,0.0,7.0297,55.9315619468689
100,0,5,-0.5,9.5825,49.93865752220154
100,0,5,-0.26,9.5825,57.91949486732483
100,0,5,0.0,9.5825,61.29443049430847
100,3,5,-0.5,8.7867,52.458924770355225
100,3,5,-0.26,8.9117,54.52920985221863
100,3,5,0.0,9.4117,58.02022838592529
100,0,10,-0.5,9.2532,52.43700361251831
100,0,10,-0.26,9.2532,325.84291529655457
100,0,10,0.0,9.2532,-222.2402827739716
100,3,10,-0.5,7.5738,51.95843482017517
100,3,10,-0.26,7.6404,52.86938691139221
100,3,10,0.0,7.6404,51.03206729888916
100,0,25,-0.5,9.2532,71.11161160469055
100,0,25,-0.26,9.2532,58.53661155700684
100,0,25,0.0,9.2532,55.73191714286804
100,3,25,-0.5,7.1488,54.6516330242157
100,3,25,-0.26,7.1488,-221.14252185821533
100,3,25,0.0,7.1488,53.98191738128662
